pid,Academic_performance,Chinese_score,Math_score,Province,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes
441704106,2,1,2,广东省,1,2,5,4,4,4,4,4,1,5,1,1,0,1,0,1,0,0,0
441704107,3,2,2,广东省,5,2,5,5,4,4,4,4,1,5,1,1,0,1,0,1,0,0,0
441704108,2,1,2,广东省,5,3,4,1,2,2,2,4,1,5,1,1,0,0,0,1,0,0,0
441706108,7,4,4,广东省,2,4,2,1,4,4,4,4,1,5,4,3,0,0,0,1,0,0,0
441706109,2,2,1,广东省,2,4,2,2,2,2,4,4,1,5,4,3,0,0,0,1,0,0,0
441707105,7,4,4,广东省,5,1,5,1,2,3,4,5,1,4,2,2,0,1,0,1,0,0,0
441710107,3,2,2,广东省,2,2,2,2,4,4,4,4,1,5,2,3,0,1,1,0,1,0,0
441710109,3,2,2,广东省,3,3,4,1,3,2,4,3,1,5,2,3,0,1,0,1,0,0,0
441711106,7,4,4,广东省,3,4,3,3,5,5,4,5,1,5,2,1,0,1,0,0,1,1,0
441711107,7,4,4,广东省,3,4,4,3,4,4,4,4,1,5,2,1,0,0,1,0,0,1,0
441712105,5,3,3,广东省,4,3,4,1,4,4,2,3,1,5,3,2,0,1,0,1,0,0,0
441712106,3,2,2,广东省,3,2,2,1,4,2,4,4,1,5,3,2,0,1,0,1,0,0,0
441712401,5,3,3,广东省,4,3,4,1,2,2,4,2,1,5,3,2,0,1,0,1,0,0,0
441713106,2,1,2,广东省,2,2,4,4,4,4,4,5,1,4,2,3,0,0,1,0,1,1,0
441720501,6,4,3,广东省,1,4,4,4,4,4,4,4,1,4,2,3,0,0,0,1,0,0,0
441722107,6,3,4,广东省,3,1,3,3,3,4,4,4,1,6,2,2,1,1,1,0,0,0,0
441725105,3,2,2,广东省,2,4,4,4,2,2,4,2,1,5,1,2,0,1,1,0,0,1,0
441741106,3,2,2,广东省,5,4,5,3,3,4,4,4,1,5,1,2,0,1,1,0,0,0,0
441771104,1,1,1,广东省,4,2,4,2,2,2,4,4,1,5,4,2,1,1,1,0,0,0,0
441779105,5,3,3,广东省,3,4,5,4,4,4,4,4,1,5,1,2,1,0,1,0,0,1,0
441779106,3,2,2,广东省,4,4,4,5,4,4,4,4,1,5,1,2,1,1,0,1,0,1,0
441780105,1,1,1,广东省,5,3,5,5,3,4,4,2,1,5,3,1,1,0,0,1,1,0,0
441788105,1,1,1,广东省,1,4,4,4,5,5,4,4,1,5,2,1,1,1,0,1,1,1,0
441788106,4,3,2,广东省,4,5,5,3,5,5,5,5,1,5,2,1,1,1,0,1,0,0,0
441788107,1,1,1,广东省,5,5,5,5,5,5,5,4,1,5,2,1,1,1,0,1,0,0,0
441810401,7,4,4,广东省,1,4,4,4,5,1,5,1,4,5,2,3,1,1,0,1,0,0,0
441812105,5,2,4,广东省,4,2,4,2,4,4,2,4,1,5,2,1,1,1,1,0,0,1,0
441812106,2,1,2,广东省,3,3,4,1,4,4,4,3,1,5,2,1,1,0,0,1,0,0,0
441835105,3,3,1,广东省,5,4,5,3,2,2,3,1,4,5,2,1,0,1,0,1,0,0,1
441838107,3,2,2,广东省,2,3,3,2,3,4,4,4,1,5,3,1,1,1,1,0,0,0,0
441840105,5,2,4,广东省,5,2,5,1,5,5,5,5,1,5,2,1,0,1,1,0,0,1,0
441843105,1,1,1,广东省,4,2,5,3,4,4,4,4,1,5,2,1,0,0,0,1,0,0,0
441843106,2,2,1,广东省,5,2,5,3,4,4,4,4,1,5,2,1,0,0,0,1,0,0,0
441845107,7,4,4,广东省,3,2,2,2,5,4,4,4,1,5,2,1,0,0,0,1,0,0,0
441845108,7,4,4,广东省,2,1,1,1,4,4,4,4,1,5,2,1,0,0,0,1,0,0,0
441845551,7,4,4,广东省,1,3,3,1,2,2,2,2,1,5,2,1,0,1,0,1,0,0,0
441846107,1,1,1,广东省,5,1,5,1,2,2,3,4,1,5,1,1,0,0,0,1,0,0,0
441849104,1,1,1,广东省,5,4,4,1,5,3,4,5,1,5,2,1,0,1,1,0,0,0,0
441849105,1,1,1,广东省,5,2,5,1,2,2,4,5,1,5,2,1,0,1,1,0,0,0,0
441849106,3,2,2,广东省,5,1,4,1,4,2,2,5,1,5,2,1,0,1,0,1,0,0,0
441849107,1,1,1,广东省,4,2,5,1,2,4,2,2,1,5,2,1,0,1,0,1,0,0,0
441862109,7,4,4,广东省,5,2,5,2,5,5,5,5,6,5,2,1,0,0,0,1,0,0,1
